
="",="Food consumption (USD)"
="",="(1)",="(2)",="(3)"

="Treatment",="-15.22*",="-19.23*",="-19.23"
="",="(7.69)",="(7.62)",="(18.36)"

="Experienced crop damage",="",="51.86***",="51.86***"
="",="",="(7.90)",="(8.39)"

="Experienced drought/flood",="",="0.01",="0.01"
="",="",="(8.00)",="(9.51)"

="Constant",="235.64***",="210.74***",="210.74***"
="",="(5.44)",="(7.48)",="(16.72)"

="Observations",="1756",="1756",="1756"
="Clustering",="No",="No",="Yes"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
